情景,片段序号,说明,发言,目的,配图
久しぶりの親友と食事をする場面：かつてとても親しかったものの、仕事や距離のため最近はほとんど会えない友人と、静かな飲食店で食事をしていると想像してください。最初は少しよそよそしいものの、会話は徐々に以前の親しい調子へ戻っていきます。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,5,功績を横取りし、問題が起きると他人のせいにする人の話になります。友人も最近の様子を知っています。,また人の成果を自分のものみたいに話して、問題が出たらあんなに堂々と責任を押しつけたらしいよ。,嘲笑的な笑い｜軽蔑を含む笑顔：想定上の人物の行動を否定し軽蔑する気持ちによって、嘲笑的な笑顔を引き出します。,illustrations/scene_002_old_friend_dinner.png
久しぶりの親友と食事をする場面：かつてとても親しかったものの、仕事や距離のため最近はほとんど会えない友人と、静かな飲食店で食事をしていると想像してください。最初は少しよそよそしいものの、会話は徐々に以前の親しい調子へ戻っていきます。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,6,友人はすぐに助言せず、あなたが最近抱えてきたことを最後まで真剣に聞きました。,本当に長い間、一人で耐えてきたんだね。最近はずっと大変だったでしょう。,優しい笑顔｜理解されたときの温かな笑顔：親しい相手に気持ちを受け止めてもらうことで、安心と感謝を伴う笑顔を引き出します。,illustrations/scene_002_old_friend_dinner.png
久しぶりの親友と食事をする場面：かつてとても親しかったものの、仕事や距離のため最近はほとんど会えない友人と、静かな飲食店で食事をしていると想像してください。最初は少しよそよそしいものの、会話は徐々に以前の親しい調子へ戻っていきます。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,7,食事の後の交差点で、次に会えるのはまた先かもしれないと二人とも気づきます。友人は軽い口調で別れようとします。,今度はまた何年もたたないうちに会おう。今度こそ、お互いちゃんと連絡しようね。,苦笑｜寂しさを含む笑顔：再会の喜びと再び別れる寂しさが同時に生じることで、名残惜しさを含む笑顔を引き出します。,illustrations/scene_002_old_friend_dinner.png
自分を知っているのに、こちらは思い出せない人と偶然会う場面：商業施設でコーヒーを買う列に並んでいると、同年代の人が突然あなたの名前を正確に呼び、旧知の仲のように話しかけてきたと想像してください。会ったことがあるのは確かですが、名前も知り合った場所も思い出せません。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,1,コーヒーの列に並んでいると、相手があなたの名前を呼び、昔からの知り合いのように挨拶します。,久しぶり！まさかこんなところで会うとは思わなかった。,社交的な笑顔｜反射的な礼儀笑い：突然の挨拶に即座に応じる必要によって、儀礼的な笑顔を引き出します。,illustrations/scene_003_unrecognized_acquaintance.png
自分を知っているのに、こちらは思い出せない人と偶然会う場面：商業施設でコーヒーを買う列に並んでいると、同年代の人が突然あなたの名前を正確に呼び、旧知の仲のように話しかけてきたと想像してください。会ったことがあるのは確かですが、名前も知り合った場所も思い出せません。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,2,相手はあなたの近況を明らかに覚えていますが、あなたはまだ相手が誰なのか思い出せません。,今も前と同じところで働いてるの？あの頃、その仕事が好きだって言ってたよね。,社交的な笑顔｜会話を保つための笑顔：持っている情報の差と、やり取りを続ける必要によって、控えめな社交的笑顔を引き出します。,illustrations/scene_003_unrecognized_acquaintance.png
自分を知っているのに、こちらは思い出せない人と偶然会う場面：商業施設でコーヒーを買う列に並んでいると、同年代の人が突然あなたの名前を正確に呼び、旧知の仲のように話しかけてきたと想像してください。会ったことがあるのは確かですが、名前も知り合った場所も思い出せません。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,3,相手はあなたのためらいに気づき、反応を確かめるように立ち止まります。,もしかして、本当に僕のことを覚えてない？,はにかみ笑い｜気まずい照れ笑い：記憶の失敗を相手に気づかれることで、視線をそらしたり唇を結んだりする笑顔を引き出します。,illustrations/scene_003_unrecognized_acquaintance.png
自分を知っているのに、こちらは思い出せない人と偶然会う場面：商業施設でコーヒーを買う列に並んでいると、同年代の人が突然あなたの名前を正確に呼び、旧知の仲のように話しかけてきたと想像してください。会ったことがあるのは確かですが、名前も知り合った場所も思い出せません。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,4,どこで会ったのかすぐに思い出せないと正直に伝えます。相手は気を悪くせず、手がかりを出します。,大丈夫。思い出してみて、前に同じ短期研修に参加したことがあるよ。,社交的な笑顔｜場を和らげる笑顔：正直に説明して小さな失礼を修復することで、相手を安心させる笑顔を引き出します。,illustrations/scene_003_unrecognized_acquaintance.png
自分を知っているのに、こちらは思い出せない人と偶然会う場面：商業施設でコーヒーを買う列に並んでいると、同年代の人が突然あなたの名前を正確に呼び、旧知の仲のように話しかけてきたと想像してください。会ったことがあるのは確かですが、名前も知り合った場所も思い出せません。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,5,相手が座っていた場所まで説明し、あなたはようやく目の前の人と当時の記憶を結びつけます。,同じグループで、僕は君の隣に座ってた。ノートも借りたことがあるよ。,はにかみ笑い｜安心を伴う照れ笑い：記憶が戻る安心と、先ほど思い出せなかった気まずさによって、照れ笑いを引き出します。,illustrations/scene_003_unrecognized_acquaintance.png
自分を知っているのに、こちらは思い出せない人と偶然会う場面：商業施設でコーヒーを買う列に並んでいると、同年代の人が突然あなたの名前を正確に呼び、旧知の仲のように話しかけてきたと想像してください。会ったことがあるのは確かですが、名前も知り合った場所も思い出せません。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,6,相手が誰か分かった後、先ほどの曖昧な受け答えについて相手が軽く冗談を言います。,さっきまで、ずっと僕を知っているふりをしてた？正直、もう少しで信じるところだったよ。,苦笑｜自嘲の苦笑：小さな対人上の失敗を振り返ることで、軽い自嘲とやるせなさを伴う笑顔を引き出します。,illustrations/scene_003_unrecognized_acquaintance.png
心を込めた手作りの贈り物を受け取る場面：自分にとって記念となる日に、親しい友人と会ったと想像してください。友人は丁寧に包んだ小箱を取り出し、この贈り物を数週間かけて少しずつ作ったと話します。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,1,友人は包んだプレゼントをあなたの前に置き、作っている途中で何度も失敗したことを話します。,これ、何週間も少しずつ作ったんだ。最初は二回も失敗しちゃった。,優しい笑顔｜思いやりのある温かな笑顔：親しい相手が熱心に語るのを聞くことで、優しく注意深い笑顔を引き出します。,illustrations/scene_004_handmade_gift.png
心を込めた手作りの贈り物を受け取る場面：自分にとって記念となる日に、親しい友人と会ったと想像してください。友人は丁寧に包んだ小箱を取り出し、この贈り物を数週間かけて少しずつ作ったと話します。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,2,友人はプレゼントを手渡し、あなたの反応を注意深く見ています。,開けてみて。想像していたものより良くなかったらどうしようって、少し心配なんだ。,はにかみ笑い｜期待を伴う照れ笑い：注目を集めることと、内容が明らかになる期待によって、控えめな笑顔を引き出します。,illustrations/scene_004_handmade_gift.png
心を込めた手作りの贈り物を受け取る場面：自分にとって記念となる日に、親しい友人と会ったと想像してください。友人は丁寧に包んだ小箱を取り出し、この贈り物を数週間かけて少しずつ作ったと話します。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,3,包みを開けると、ずっと前に欲しいと言ったものが入っています。あなた自身はその話を忘れていました。,前にこれが欲しいって言ってたのを覚えてたから、自分で作ってみようと思ったんだ。,喜びの笑顔｜驚きの笑顔：忘れていた願いを覚えてもらい、思いがけず実現することで、はっきりとした喜びと驚きの表情を引き出します。,illustrations/scene_004_handmade_gift.png
心を込めた手作りの贈り物を受け取る場面：自分にとって記念となる日に、親しい友人と会ったと想像してください。友人は丁寧に包んだ小箱を取り出し、この贈り物を数週間かけて少しずつ作ったと話します。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,4,プレゼントを詳しく見ていると、友人が二人にしか分からない細部を指さします。,ここを見て。二人にしか分からないあの小さな印も入れておいたよ。,優しい笑顔｜感動を伴う愛情深い笑顔：共有する思い出が贈り物に込められていることで、親しさと感動を伴う笑顔を引き出します。,illustrations/scene_004_handmade_gift.png
心を込めた手作りの贈り物を受け取る場面：自分にとって記念となる日に、親しい友人と会ったと想像してください。友人は丁寧に包んだ小箱を取り出し、この贈り物を数週間かけて少しずつ作ったと話します。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,5,あなたが一時的に黙ったため、友人は想像と違ったのではないかと心配します。,どうして何も言わないの？想像していたものと違った？,はにかみ笑い｜唇を結んだ笑顔：強い感謝をすぐ言葉にできないことで、唇を結ぶ短い照れ笑いを引き出します。,illustrations/scene_004_handmade_gift.png
心を込めた手作りの贈り物を受け取る場面：自分にとって記念となる日に、親しい友人と会ったと想像してください。友人は丁寧に包んだ小箱を取り出し、この贈り物を数週間かけて少しずつ作ったと話します。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,6,あなたが気に入ったと分かると、友人は安心し、作業中に苦労した部分を話します。,気に入ってくれてよかった。ここは途中で諦めそうになって、結局全部ほどいて作り直したんだ。,喜びの笑顔｜満足した笑顔：驚きが落ち着き、体験を共有することで、安定した満足の笑顔を引き出します。,illustrations/scene_004_handmade_gift.png
仕事で褒められる場面：月曜日の部署会議で、先週起きた突発的な問題を振り返っていると想像してください。あなたは進捗だけを報告するつもりでしたが、上司は、重要な問題を早く発見し落ち着いて対処したのはあなただと皆の前で説明します。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,1,月曜日の部署会議で、上司が突然あなたの名前を呼び、何人かの同僚が一斉にあなたを見ます。,次に、先週の突発的なトラブルに対するあなたの対応について、特に話したいと思います。,はにかみ笑い｜緊張を抑えた笑顔：人前で突然注目され、結果がまだ分からないことで、短く控えめな笑顔を引き出します。,illustrations/scene_005_work_praise.png
仕事で褒められる場面：月曜日の部署会議で、先週起きた突発的な問題を振り返っていると想像してください。あなたは進捗だけを報告するつもりでしたが、上司は、重要な問題を早く発見し落ち着いて対処したのはあなただと皆の前で説明します。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,2,上司は対応の経緯を説明し、あなたの貢献を明確に評価します。,重要な問題を早い段階で見つけ、落ち着いて対応してくれたおかげで、大きなトラブルを防げました。,喜びの笑顔｜達成感のある笑顔：努力を公に認められることで、自然な満足の笑顔を引き出します。,illustrations/scene_005_work_praise.png
仕事で褒められる場面：月曜日の部署会議で、先週起きた突発的な問題を振り返っていると想像してください。あなたは進捗だけを報告するつもりでしたが、上司は、重要な問題を早く発見し落ち着いて対処したのはあなただと皆の前で説明します。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,3,上司の話が終わると同僚たちが拍手し、そのうちの一人があなたにお祝いを伝えます。,本当に良い対応だったよ。今回はみんなをもっと大きな問題から救ってくれた。,社交的な笑顔｜謙虚で礼儀正しい笑顔：公の場で応答し功績を分かち合う規範によって、統制された友好的な笑顔を引き出します。,illustrations/scene_005_work_praise.png
仕事で褒められる場面：月曜日の部署会議で、先週起きた突発的な問題を振り返っていると想像してください。あなたは進捗だけを報告するつもりでしたが、上司は、重要な問題を早く発見し落ち着いて対処したのはあなただと皆の前で説明します。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,4,上司はあなたの対応方法をチームでも活用できると考え、次の作業を提案します。,今回の経験を、今後みんなが使えるテンプレートにまとめてもらえますか？,喜びの笑顔｜誇りと満足の笑顔：能力が認められ、継続的な価値を持つことで、誇らしさを伴う穏やかな笑顔を引き出します。,illustrations/scene_005_work_praise.png
仕事で褒められる場面：月曜日の部署会議で、先週起きた突発的な問題を振り返っていると想像してください。あなたは進捗だけを報告するつもりでしたが、上司は、重要な問題を早く発見し落ち着いて対処したのはあなただと皆の前で説明します。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,5,会議の後、普段ほとんど人を褒めない同僚があなたのところへ来ます。,あの日は本当にみんなを助けてくれたよ。普段はこういうことを言わないけど、今回は心から感謝してる。,はにかみ笑い｜照れ笑い：同僚から予想外に直接褒められることで、はにかんだ笑顔を引き出します。,illustrations/scene_005_work_praise.png
仕事で褒められる場面：月曜日の部署会議で、先週起きた突発的な問題を振り返っていると想像してください。あなたは進捗だけを報告するつもりでしたが、上司は、重要な問題を早く発見し落ち着いて対処したのはあなただと皆の前で説明します。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,6,以前あなたを支えてくれた別の同僚も残り、これまでの成長について話します。,今ではこういう問題を一人で対応できるようになって、僕も本当にうれしいよ。,優しい笑顔｜感謝の笑顔：長く支えてもらったことを改めて確認することで、温かく誠実な笑顔を引き出します。,illustrations/scene_005_work_praise.png
仕事で批判される場面：プロジェクトの振り返り会議で、あなたが担当した報告書が大画面に映されていると想像してください。上司は、要求事項が一つ抜けていたため、同僚が急きょ作業をやり直すことになったと指摘します。抜けがあったのは事実ですが、その場には経緯を十分知らない人もいます。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,1,プロジェクトの振り返り会議で、上司があなたの報告書に要件の漏れがあると指摘し、会議室が静かになります。,この報告書には、明記されていた要件が一つ抜けています。まず、どうしてこうなったのか説明してください。,社交的な笑顔｜緊張を伴う礼儀笑い：人前で批判されても職業人として振る舞う必要によって、ごく小さな仕事上の笑顔を引き出します。,illustrations/scene_006_work_criticism.png
仕事で批判される場面：プロジェクトの振り返り会議で、あなたが担当した報告書が大画面に映されていると想像してください。上司は、要求事項が一つ抜けていたため、同僚が急きょ作業をやり直すことになったと指摘します。抜けがあったのは事実ですが、その場には経緯を十分知らない人もいます。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,2,あなたは見落としを認め、手戻りの影響を受けた同僚に謝ります。同僚は会議を続けようとします。,分かりました。まず会議を続けて、修正については後で一緒に確認しましょう。,社交的な笑顔｜場を和らげる笑顔：責任を引き受け、関係を修復することで、相手を安心させる笑顔を引き出します。,illustrations/scene_006_work_criticism.png
仕事で批判される場面：プロジェクトの振り返り会議で、あなたが担当した報告書が大画面に映されていると想像してください。上司は、要求事項が一つ抜けていたため、同僚が急きょ作業をやり直すことになったと指摘します。抜けがあったのは事実ですが、その場には経緯を十分知らない人もいます。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,3,要件が変わった経緯には触れないまま、上司は全員の前で今回の見落としをさらに評価します。,このような基本的なミスは起きるべきではありません。次回は提出前に全体を確認してください。,苦笑｜作り笑い：不満があってもその場で詳しく説明できない状況によって、表面上抑えた笑顔を引き出します。,illustrations/scene_006_work_criticism.png
仕事で批判される場面：プロジェクトの振り返り会議で、あなたが担当した報告書が大画面に映されていると想像してください。上司は、要求事項が一つ抜けていたため、同僚が急きょ作業をやり直すことになったと指摘します。抜けがあったのは事実ですが、その場には経緯を十分知らない人もいます。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,4,プロジェクトにほとんど関わっていない同僚が、軽く見下すような口調で話に加わります。,それって常識じゃないですか？普通なら見落とすはずがないと思います。,嘲笑的な笑い｜冷笑：不公平な評価と優越的な態度を否定する気持ちによって、抑えた冷笑を引き出します。,illustrations/scene_006_work_criticism.png
仕事で批判される場面：プロジェクトの振り返り会議で、あなたが担当した報告書が大画面に映されていると想像してください。上司は、要求事項が一つ抜けていたため、同僚が急きょ作業をやり直すことになったと指摘します。抜けがあったのは事実ですが、その場には経緯を十分知らない人もいます。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,5,会議後、上司は批判が結果に対するものだと説明しますが、同時にその日のうちの修正を求めます。,あなたの能力全体を否定しているわけではありません。ただ、この報告書は今夜中に直してください。,苦笑｜やるせない苦笑：一部の慰めと新たな負担が同時に生じることで、疲れとやるせなさを伴う笑顔を引き出します。,illustrations/scene_006_work_criticism.png
仕事で批判される場面：プロジェクトの振り返り会議で、あなたが担当した報告書が大画面に映されていると想像してください。上司は、要求事項が一つ抜けていたため、同僚が急きょ作業をやり直すことになったと指摘します。抜けがあったのは事実ですが、その場には経緯を十分知らない人もいます。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,6,席に戻ってファイルを開き直すと、同僚があなたの退勤後の予定がなくなったことに気づきます。,今夜の予定は延期するしかなさそうだね。大変だね。,苦笑｜自嘲の苦笑：予定が崩れ、それでも仕事を続ける必要があるという対比によって、軽い自嘲を伴う笑顔を引き出します。,illustrations/scene_006_work_criticism.png
上司または教授に初めて会う場面：自分にとって大切な提案を説明するため、初めて一人で相手の部屋に入ると想像してください。冒頭の言葉は練習してきましたが、相手の人柄はよく分かりません。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,1,初めて上司または教授の部屋に一人で入ります。相手は着席を勧め、簡単な雑談から始めます。,ここに来るのは初めてですね。道は分かりましたか？,社交的な笑顔｜正式で礼儀正しい笑顔：立場の差がある初対面の規範によって、控えめで職業的な笑顔を引き出します。,illustrations/scene_007_supervisor_group.png
上司または教授に初めて会う場面：自分にとって大切な提案を説明するため、初めて一人で相手の部屋に入ると想像してください。冒頭の言葉は練習してきましたが、相手の人柄はよく分かりません。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,2,説明を始めた直後にドアが開き、予想していなかった四人が入って近くに座ります。,ちょうどこの提案に関心があるそうなので、この四人にも一緒に聞いてもらいます。,はにかみ笑い｜気まずい笑顔：聞き手の人数が突然変わることで、動きが止まったり、視線をそらしたり、唇を結んだりする笑顔を引き出します。,illustrations/scene_007_supervisor_group.png
上司または教授に初めて会う場面：自分にとって大切な提案を説明するため、初めて一人で相手の部屋に入ると想像してください。冒頭の言葉は練習してきましたが、相手の人柄はよく分かりません。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,3,追加の聞き手が座ると、全員の視線が再びあなたに向かいます。上司または教授が続きを促します。,この人たちのことは気にせず、準備してきたとおりに続けてください。,はにかみ笑い｜緊張を抑えた笑顔：複数の人に見られながら、すぐ再開する必要によって、緊張した笑顔を引き出します。,illustrations/scene_007_supervisor_group.png
上司または教授に初めて会う場面：自分にとって大切な提案を説明するため、初めて一人で相手の部屋に入ると想像してください。冒頭の言葉は練習してきましたが、相手の人柄はよく分かりません。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,4,説明が終わり、相手が資料を閉じます。初めての正式な面談を終えました。,ありがとうございます。今日はここまでで大丈夫です。戻ってください。,喜びの笑顔｜安堵の笑顔：緊張の高い対話が終わることで、自然に力が抜ける笑顔を引き出します。,illustrations/scene_007_supervisor_group.png
上司または教授に初めて会う場面：自分にとって大切な提案を説明するため、初めて一人で相手の部屋に入ると想像してください。冒頭の言葉は練習してきましたが、相手の人柄はよく分かりません。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,5,部屋を出た後、ノートを置き忘れたことに気づき、もう一度ドアをノックします。中の人たちはまだ残っています。,どうしましたか？何かここに忘れましたか？,苦笑｜やるせない苦笑：緊張から解放された直後に戻らざるを得ない対比によって、やるせない笑顔を引き出します。,illustrations/scene_007_supervisor_group.png
上司または教授に初めて会う場面：自分にとって大切な提案を説明するため、初めて一人で相手の部屋に入ると想像してください。冒頭の言葉は練習してきましたが、相手の人柄はよく分かりません。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,6,相手は嫌な顔をせず、ノートを渡して緊張を和らげます。,初めてなら緊張するのは普通です。こんな小さなことは気にしなくて大丈夫ですよ。,社交的な笑顔｜気まずさが和らいだ礼儀笑い：相手が失敗を和らげてくれることで、礼儀正しさと明らかな安心を伴う笑顔を引き出します。,illustrations/scene_007_supervisor_group.png
上司または教授に初めて会う場面：自分にとって大切な提案を説明するため、初めて一人で相手の部屋に入ると想像してください。冒頭の言葉は練習してきましたが、相手の人柄はよく分かりません。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,7,もう一度退出しようとすると、相手が提案についての最初の感想を付け加えます。,あなたの提案には良いアイデアがいくつかあります。続きはまたゆっくり話しましょう。,優しい笑顔｜安心した温かな笑顔：権威ある相手からの親切と評価によって、安心と親近感を伴う笑顔を引き出します。,illustrations/scene_007_supervisor_group.png
人身事故で電車が遅れる場面：平日の夕方、後の乗り換えに必要な電車をホームで待っていると想像してください。前方で人身事故が発生したため運転を見合わせ、再開時刻は未定だという放送が流れます。事故そのものは想像せず、待つこと、予定が崩れること、周囲の人とのやり取りだけに意識を向けてください。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,1,次の乗り換えに必要な電車をホームで待っていると、最初の放送が流れます。,前方で発生した人身事故の影響により、当路線は現在運転を見合わせています。運転再開時刻は未定です。,苦笑｜やるせない笑顔：自分では制御できない遅延で予定が崩れることによって、軽いやるせなさを伴う笑顔を引き出します。,illustrations/scene_008_train_delay.png
人身事故で電車が遅れる場面：平日の夕方、後の乗り換えに必要な電車をホームで待っていると想像してください。前方で人身事故が発生したため運転を見合わせ、再開時刻は未定だという放送が流れます。事故そのものは想像せず、待つこと、予定が崩れること、周囲の人とのやり取りだけに意識を向けてください。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,2,電光掲示板の遅延見込みが十分から四十分に変わり、更新の放送が流れます。,運転再開は四十分以上先となる見込みです。お乗り換えのお客様は経路の変更をご検討ください。,苦笑｜苦い笑顔：わずかに残っていた期待も崩れることで、失望を伴う苦笑を引き出します。,illustrations/scene_008_train_delay.png
