情景,片段序号,说明,发言,目的,配图
和久违的好友聚餐：请想象你与一位曾经非常亲近、现在因工作和距离很少见面的好友在安静的小餐馆吃饭。最初略有生疏，但聊天慢慢回到过去熟悉的节奏。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,4,你刚讲到一位共同好友最近发生的趣事，却故意停在最关键的地方。,然后呢？你别停在这里啊，后来到底发生什么了？,狡黠型笑｜意味深长的坏笑：利用掌握结局而暂不揭示的信息差，诱发调皮、吊胃口的笑。,illustrations/scene_002_old_friend_dinner.png
和久违的好友聚餐：请想象你与一位曾经非常亲近、现在因工作和距离很少见面的好友在安静的小餐馆吃饭。最初略有生疏，但聊天慢慢回到过去熟悉的节奏。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,5,你们提到一个经常抢功、又把责任推给别人的人，好友显然也知道对方最近的表现。,他这次又把别人的成果说成自己的，出了问题以后还装得特别理直气壮。,讥讽型笑｜不屑一笑：利用对虚构对象行为的否定和轻蔑，诱发不屑、讥讽性的笑。,illustrations/scene_002_old_friend_dinner.png
和久违的好友聚餐：请想象你与一位曾经非常亲近、现在因工作和距离很少见面的好友在安静的小餐馆吃饭。最初略有生疏，但聊天慢慢回到过去熟悉的节奏。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,6,好友没有急着给建议，只是认真听完了你最近遇到的困难。,听起来你真的撑了很久，这段时间应该很不容易吧。,温柔型笑｜被理解的暖笑：利用被熟人接住情绪的体验，诱发放松、带感谢的笑。,illustrations/scene_002_old_friend_dinner.png
和久违的好友聚餐：请想象你与一位曾经非常亲近、现在因工作和距离很少见面的好友在安静的小餐馆吃饭。最初略有生疏，但聊天慢慢回到过去熟悉的节奏。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,7,饭后走到路口，你们意识到下一次见面可能又要等很久。好友故作轻松地准备告别。,下次可别又一转眼就是几年，我们都主动一点，好吗？,苦涩型笑｜心酸笑：利用重逢的快乐与再次分别并存，诱发含不舍的笑。,illustrations/scene_002_old_friend_dinner.png
意外遇到认识你、但你认不出的人：请想象你在商场排队买咖啡，一位与你年龄相近的人突然准确叫出你的名字，像老熟人一样向你打招呼。你确定见过对方，却完全想不起姓名和认识的场合。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,1,你正在商场排队买咖啡，对方准确叫出你的名字，像老熟人一样向你打招呼。,好久不见！没想到会在这里遇到你。,社交型笑｜自动礼貌笑：利用突然被问候和需要即时回应的压力，诱发礼节性笑。,illustrations/scene_003_unrecognized_acquaintance.png
意外遇到认识你、但你认不出的人：请想象你在商场排队买咖啡，一位与你年龄相近的人突然准确叫出你的名字，像老熟人一样向你打招呼。你确定见过对方，却完全想不起姓名和认识的场合。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,2,对方显然记得你的近况，而你仍然想不起对方是谁。,你现在还在原来的地方工作吗？我记得你当时很喜欢那份工作。,社交型笑｜维持性陪笑：利用信息不对称和维持互动的需要，诱发克制的社交笑。,illustrations/scene_003_unrecognized_acquaintance.png
意外遇到认识你、但你认不出的人：请想象你在商场排队买咖啡，一位与你年龄相近的人突然准确叫出你的名字，像老熟人一样向你打招呼。你确定见过对方，却完全想不起姓名和认识的场合。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,3,对方看出你的迟疑，停下来观察你的反应。,你不会真的不记得我了吧？,羞涩型笑｜尴尬腼腆笑：利用记忆失败被公开识别，诱发回避目光和抿嘴笑。,illustrations/scene_003_unrecognized_acquaintance.png
意外遇到认识你、但你认不出的人：请想象你在商场排队买咖啡，一位与你年龄相近的人突然准确叫出你的名字，像老熟人一样向你打招呼。你确定见过对方，却完全想不起姓名和认识的场合。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,4,你坦白自己一时想不起在哪里见过。对方没有生气，准备给你提示。,没关系，你再想想，我们以前参加过同一次短期培训。,社交型笑｜缓和笑：利用诚实解释和修复轻微失礼，诱发安抚、缓和性的笑。,illustrations/scene_003_unrecognized_acquaintance.png
意外遇到认识你、但你认不出的人：请想象你在商场排队买咖啡，一位与你年龄相近的人突然准确叫出你的名字，像老熟人一样向你打招呼。你确定见过对方，却完全想不起姓名和认识的场合。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,5,对方进一步说出当时的小组位置，你终于把眼前的人和那段经历对应起来。,我们当时在同一组，我就坐在你旁边，还借过你的笔记。,羞涩型笑｜释然羞涩笑：利用记忆恢复与先前失认的反差，诱发释然又腼腆的笑。,illustrations/scene_003_unrecognized_acquaintance.png
意外遇到认识你、但你认不出的人：请想象你在商场排队买咖啡，一位与你年龄相近的人突然准确叫出你的名字，像老熟人一样向你打招呼。你确定见过对方，却完全想不起姓名和认识的场合。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,6,身份确认后，对方用轻松的方式提起你刚才一直含糊应对的样子。,你刚才是不是一直在努力装作认识我？其实我差一点就相信了。,苦涩型笑｜自嘲苦笑：利用社交小失误后的自我评价，诱发轻度自嘲和无奈。,illustrations/scene_003_unrecognized_acquaintance.png
收到用心制作的礼物：请想象在一个对你很有纪念意义的日子，一位关系很好的朋友约你见面。她拿出包装精致的小盒子，说为了准备这份礼物，断断续续做了几个星期。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,1,好友把包装好的礼物放在你面前，开始讲述制作过程中反复失败的经历。,这个礼物我断断续续做了几个星期，最开始还连续做坏了两次。,温柔型笑｜关怀暖笑：利用对方投入的讲述和关系亲近感，诱发柔和、专注的笑。,illustrations/scene_004_handmade_gift.png
收到用心制作的礼物：请想象在一个对你很有纪念意义的日子，一位关系很好的朋友约你见面。她拿出包装精致的小盒子，说为了准备这份礼物，断断续续做了几个星期。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,2,好友把礼物递到你手里，一直留意你的反应。,你先拆开看看吧，我其实有点担心实物没有你想象得那么好。,羞涩型笑｜腼腆期待笑：利用成为注意中心和即将揭晓的期待，诱发克制的笑。,illustrations/scene_004_handmade_gift.png
收到用心制作的礼物：请想象在一个对你很有纪念意义的日子，一位关系很好的朋友约你见面。她拿出包装精致的小盒子，说为了准备这份礼物，断断续续做了几个星期。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,3,你打开包装后，看见一件自己很久以前提过、后来已经忘记的东西。,我记得你以前说过特别想要这个，所以后来就想着亲手给你做一个。,愉悦型笑｜惊喜笑：利用愿望被记住并意外实现，诱发明显的惊喜愉悦。,illustrations/scene_004_handmade_gift.png
收到用心制作的礼物：请想象在一个对你很有纪念意义的日子，一位关系很好的朋友约你见面。她拿出包装精致的小盒子，说为了准备这份礼物，断断续续做了几个星期。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,4,你仔细查看礼物时，好友指向其中一个只有你们两个人懂的细节。,你看看这里，我还把只有我们两个人知道的那个小细节放进去了。,温柔型笑｜感动甜笑：利用共享记忆被嵌入礼物，诱发亲近、感动的笑。,illustrations/scene_004_handmade_gift.png
收到用心制作的礼物：请想象在一个对你很有纪念意义的日子，一位关系很好的朋友约你见面。她拿出包装精致的小盒子，说为了准备这份礼物，断断续续做了几个星期。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,5,你一时没有说话。好友误以为礼物与你想象的不一样，语气有些担心。,你怎么不说话，是不是和你想象得不太一样？,羞涩型笑｜抿嘴笑：利用强烈感谢难以立即语言化，诱发抿嘴、短暂回避的笑。,illustrations/scene_004_handmade_gift.png
收到用心制作的礼物：请想象在一个对你很有纪念意义的日子，一位关系很好的朋友约你见面。她拿出包装精致的小盒子，说为了准备这份礼物，断断续续做了几个星期。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,6,好友确认你喜欢礼物后放松下来，开始说起制作时笨拙的地方。,你喜欢就好，我做这里的时候差点放弃，最后还是拆掉重新做了一遍。,愉悦型笑｜满足笑：利用惊喜落定与共同分享，诱发稳定、满足的笑。,illustrations/scene_004_handmade_gift.png
工作中被褒奖：请想象周一的部门例会上，大家正在复盘上周一次临时故障。你原本只准备汇报进度，主管却在所有同事面前点名说明，是你及时发现了关键问题，并称赞你的处理很稳妥。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,1,周一的部门例会上，主管突然念到你的名字，几位同事同时转头看向你。,接下来我想特别说一下你上周处理临时故障的事情。,羞涩型笑｜紧张克制笑：利用公开注意和结果未明，诱发短促、克制的笑。,illustrations/scene_005_work_praise.png
工作中被褒奖：请想象周一的部门例会上，大家正在复盘上周一次临时故障。你原本只准备汇报进度，主管却在所有同事面前点名说明，是你及时发现了关键问题，并称赞你的处理很稳妥。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,2,主管开始说明故障处理过程，并明确肯定你的贡献。,这次多亏你提前发现了关键问题，处理得也很稳妥。,愉悦型笑｜成就微笑：利用努力被公开认可，诱发自然的满足笑。,illustrations/scene_005_work_praise.png
工作中被褒奖：请想象周一的部门例会上，大家正在复盘上周一次临时故障。你原本只准备汇报进度，主管却在所有同事面前点名说明，是你及时发现了关键问题，并称赞你的处理很稳妥。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,3,主管说完后，同事们开始鼓掌，其中一位同事转头向你表示祝贺。,做得很好，这次真的帮大家避免了更大的麻烦。,社交型笑｜谦逊礼貌笑：利用公开回应和分享功劳的规范，诱发受控、友好的笑。,illustrations/scene_005_work_praise.png
工作中被褒奖：请想象周一的部门例会上，大家正在复盘上周一次临时故障。你原本只准备汇报进度，主管却在所有同事面前点名说明，是你及时发现了关键问题，并称赞你的处理很稳妥。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,4,主管认为你的处理方式可以继续在团队中使用，于是提出新的安排。,你能不能把这次的经验整理成一个模板，以后让其他人也参考？,愉悦型笑｜自豪满足笑：利用能力被确认并产生持续价值，诱发自豪而不过分夸张的笑。,illustrations/scene_005_work_praise.png
工作中被褒奖：请想象周一的部门例会上，大家正在复盘上周一次临时故障。你原本只准备汇报进度，主管却在所有同事面前点名说明，是你及时发现了关键问题，并称赞你的处理很稳妥。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,5,散会后，一位平时很少夸人的同事单独走到你身边。,那天你确实救了大家，我很少这么说，但这次真的要谢谢你。,羞涩型笑｜不好意思的笑：利用意外而直接的同伴赞美，诱发腼腆笑。,illustrations/scene_005_work_praise.png
工作中被褒奖：请想象周一的部门例会上，大家正在复盘上周一次临时故障。你原本只准备汇报进度，主管却在所有同事面前点名说明，是你及时发现了关键问题，并称赞你的处理很稳妥。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,6,另一位过去帮助过你的同事也留下来，提到你这一段时间的变化。,看到你现在可以独立处理这种问题，我也真的替你高兴。,温柔型笑｜感激暖笑：利用长期支持被重新确认，诱发温暖、真诚的笑。,illustrations/scene_005_work_praise.png
工作中被批评：请想象在项目复盘会上，你负责的报告被投到大屏幕上。主管指出其中遗漏了一项需求，导致其他同事需要临时返工。问题确实存在，但现场还有几位并不了解完整过程的人。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,1,项目复盘会上，主管指出你负责的报告遗漏了一项需求，会议室随即安静下来。,这份报告里漏了一项明确写过的需求，你先解释一下是怎么回事。,社交型笑｜紧张礼貌笑：利用公开批评和必须保持专业的需要，诱发幅度很小的职业性笑。,illustrations/scene_006_work_criticism.png
工作中被批评：请想象在项目复盘会上，你负责的报告被投到大屏幕上。主管指出其中遗漏了一项需求，导致其他同事需要临时返工。问题确实存在，但现场还有几位并不了解完整过程的人。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,2,你承认自己有疏忽，并向受到返工影响的同事道歉。对方准备把会议继续下去。,我知道了，我们先继续开会，修改的事情会后再一起确认。,社交型笑｜缓和笑：利用责任承担和关系修复，诱发安抚、缓和性的笑。,illustrations/scene_006_work_criticism.png
工作中被批评：请想象在项目复盘会上，你负责的报告被投到大屏幕上。主管指出其中遗漏了一项需求，导致其他同事需要临时返工。问题确实存在，但现场还有几位并不了解完整过程的人。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,3,主管在所有人面前继续评价这次遗漏，而完整的需求变更过程并没有被提起。,这种基础错误不应该发生，下次提交以前必须完整核对一遍。,苦涩型笑｜强颜欢笑：利用有委屈却不便当场展开的处境，诱发表面克制的笑。,illustrations/scene_006_work_criticism.png
工作中被批评：请想象在项目复盘会上，你负责的报告被投到大屏幕上。主管指出其中遗漏了一项需求，导致其他同事需要临时返工。问题确实存在，但现场还有几位并不了解完整过程的人。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,4,一位对项目参与很少的同事忽然接过话，语气显得轻松而居高临下。,这不是常识吗？按理说根本不应该漏掉吧。,讥讽型笑｜冷笑：利用对不公平评价和优越姿态的否定，诱发克制的冷笑。,illustrations/scene_006_work_criticism.png
工作中被批评：请想象在项目复盘会上，你负责的报告被投到大屏幕上。主管指出其中遗漏了一项需求，导致其他同事需要临时返工。问题确实存在，但现场还有几位并不了解完整过程的人。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,5,会后，主管私下解释批评只针对结果，但同时要求你当天完成修改。,我不是在否定你的能力，不过这份报告今晚还是必须改完。,苦涩型笑｜无奈苦笑：利用部分安慰与额外负担并存，诱发疲惫、无奈的笑。,illustrations/scene_006_work_criticism.png
工作中被批评：请想象在项目复盘会上，你负责的报告被投到大屏幕上。主管指出其中遗漏了一项需求，导致其他同事需要临时返工。问题确实存在，但现场还有几位并不了解完整过程的人。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,6,你回到座位重新打开文件，同事看见你取消了原定的下班安排。,看来你今晚的计划只能先放一放了，辛苦了。,苦涩型笑｜自嘲苦笑：利用计划落空和必须继续工作的反差，诱发轻度自嘲。,illustrations/scene_006_work_criticism.png
第一次见上司或教授：请想象你第一次单独进入一位上司或教授的办公室，准备汇报一个自己很重视的方案。你提前演练过开场，但对对方的性格并不了解。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,1,你第一次单独进入上司或教授的办公室。对方抬头示意你坐下，先进行简单寒暄。,第一次过来吧？路上还顺利吗？,社交型笑｜正式礼貌笑：利用地位差异和初次会面的规范，诱发职业性、克制的笑。,illustrations/scene_007_supervisor_group.png
第一次见上司或教授：请想象你第一次单独进入一位上司或教授的办公室，准备汇报一个自己很重视的方案。你提前演练过开场，但对对方的性格并不了解。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,2,你刚开始介绍方案，办公室门突然打开，四位没有预料到的人走进来并在旁边坐下。,正好他们也对这个方案感兴趣，就一起听一下吧。,羞涩型笑｜尴尬笑：利用听众规模突然改变，诱发僵住、回避目光或抿嘴笑。,illustrations/scene_007_supervisor_group.png
第一次见上司或教授：请想象你第一次单独进入一位上司或教授的办公室，准备汇报一个自己很重视的方案。你提前演练过开场，但对对方的性格并不了解。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,3,新增的听众坐好后，所有人的目光重新落到你身上。上司或教授示意你继续。,不用在意他们，你就按照原来准备的内容继续讲。,羞涩型笑｜紧张克制笑：利用被多人注视和需要立即恢复表现，诱发紧张笑。,illustrations/scene_007_supervisor_group.png
第一次见上司或教授：请想象你第一次单独进入一位上司或教授的办公室，准备汇报一个自己很重视的方案。你提前演练过开场，但对对方的性格并不了解。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,4,汇报结束，对方合上资料。你已经完成第一次正式交流。,谢谢，今天先到这里，你可以回去了。,愉悦型笑｜释然笑：利用高压互动结束后的张力释放，诱发自然的放松笑。,illustrations/scene_007_supervisor_group.png
第一次见上司或教授：请想象你第一次单独进入一位上司或教授的办公室，准备汇报一个自己很重视的方案。你提前演练过开场，但对对方的性格并不了解。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,5,你走出办公室后发现记录本落在里面，只能重新敲门。里面的人还没有离开。,怎么了，是不是有什么东西忘在这里了？,苦涩型笑｜无奈苦笑：利用刚脱离压力又不得不返回的反差，诱发无奈笑。,illustrations/scene_007_supervisor_group.png
第一次见上司或教授：请想象你第一次单独进入一位上司或教授的办公室，准备汇报一个自己很重视的方案。你提前演练过开场，但对对方的性格并不了解。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,6,对方没有表现出不耐烦，而是把记录本递给你，并主动缓和气氛。,第一次来紧张很正常，不用为这点小事在意。,社交型笑｜释尴尬的礼貌笑：利用对方主动缓和失误，诱发礼貌且明显放松的笑。,illustrations/scene_007_supervisor_group.png
第一次见上司或教授：请想象你第一次单独进入一位上司或教授的办公室，准备汇报一个自己很重视的方案。你提前演练过开场，但对对方的性格并不了解。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,7,你准备再次离开时，对方又补充了对方案的初步评价。,你的方案里有几个想法不错，之后我们可以慢慢讨论。,温柔型笑｜安心暖笑：利用权威人物的善意和认可，诱发安心、亲近感上升的笑。,illustrations/scene_007_supervisor_group.png
电车因人身事故延迟：请想象工作日傍晚，你在车站等一班关系到后续换乘的电车。站台广播突然通知前方发生人身事故，恢复时间未定。无需想象事故画面，只关注等待、行程被打乱和与周围人的互动。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,1,你正在站台等待一班关系到后续换乘的电车，广播第一次响起。,因前方发生人身事故，本线路目前暂停运行，恢复时间尚未确定。,苦涩型笑｜无奈笑：利用不可控延迟和原计划受阻，诱发轻度无奈笑。,illustrations/scene_008_train_delay.png
电车因人身事故延迟：请想象工作日傍晚，你在车站等一班关系到后续换乘的电车。站台广播突然通知前方发生人身事故，恢复时间未定。无需想象事故画面，只关注等待、行程被打乱和与周围人的互动。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,2,电子屏已经把预计延迟从十分钟改成四十分钟，你再次听到更新广播。,目前预计恢复时间为四十分钟以后，请需要换乘的乘客重新规划行程。,苦涩型笑｜苦笑：利用希望进一步落空，诱发带失望的苦笑。,illustrations/scene_008_train_delay.png
电车因人身事故延迟：请想象工作日傍晚，你在车站等一班关系到后续换乘的电车。站台广播突然通知前方发生人身事故，恢复时间未定。无需想象事故画面，只关注等待、行程被打乱和与周围人的互动。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,3,你已经错过原定换乘。正在等你的朋友发来语音询问进度。,你是不是快到了？餐厅那边说预约最多只能保留十五分钟。,社交型笑｜歉意礼貌笑：利用对他人计划造成影响的顾虑，诱发带歉意的社交笑。,illustrations/scene_008_train_delay.png
电车因人身事故延迟：请想象工作日傍晚，你在车站等一班关系到后续换乘的电车。站台广播突然通知前方发生人身事故，恢复时间未定。无需想象事故画面，只关注等待、行程被打乱和与周围人的互动。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,4,旁边同样被困的乘客看着不断变化的电子屏，与你短暂对视。,今天这班车真会挑时间出问题，我们两个都走不了了。,苦涩型笑｜共情式苦笑：利用陌生人共享无奈处境，诱发短暂、同步的苦笑。,illustrations/scene_008_train_delay.png
电车因人身事故延迟：请想象工作日傍晚，你在车站等一班关系到后续换乘的电车。站台广播突然通知前方发生人身事故，恢复时间未定。无需想象事故画面，只关注等待、行程被打乱和与周围人的互动。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,5,广播已经第三次重复固定格式的道歉，但依然没有提供新的恢复信息。,给您带来不便，我们深表歉意，敬请各位乘客耐心等候。,讥讽型笑｜冷笑：利用信息不足与程式化安抚的落差，诱发克制的否定性笑。,illustrations/scene_008_train_delay.png
电车因人身事故延迟：请想象工作日傍晚，你在车站等一班关系到后续换乘的电车。站台广播突然通知前方发生人身事故，恢复时间未定。无需想象事故画面，只关注等待、行程被打乱和与周围人的互动。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,6,你的手机电量已经很低，旁边的乘客看见后拿出移动电源。,你要不要先用我的移动电源？没关系，我包里还有另一块。,温柔型笑｜感激暖笑：利用陌生人的实际帮助，诱发真诚、温暖的笑。,illustrations/scene_008_train_delay.png
电车因人身事故延迟：请想象工作日傍晚，你在车站等一班关系到后续换乘的电车。站台广播突然通知前方发生人身事故，恢复时间未定。无需想象事故画面，只关注等待、行程被打乱和与周围人的互动。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,7,你刚改好备用路线，车站又更新了替代线路的状态。,受客流集中影响，替代线路目前也出现严重拥堵，预计到达时间将进一步延后。,失控型笑｜绝望式笑：利用低风险但连续的行程挫折，诱发短促、反常的失控笑。,illustrations/scene_008_train_delay.png
幸运买到最后一块蛋糕：请想象下班后你特意绕路去一家常去的蛋糕店，想买当天限定、经常提前售罄的蛋糕。你到店时展示柜几乎空了，只在角落里还放着最后一块。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,1,你走近几乎空掉的展示柜，店员注意到你一直在看角落里的蛋糕。,你没有看错，那确实是今天限定款的最后一块。,愉悦型笑｜幸运惊喜笑：利用低预期下发现稀缺目标，诱发迅速出现的惊喜笑。,illustrations/scene_009_last_cake.png
幸运买到最后一块蛋糕：请想象下班后你特意绕路去一家常去的蛋糕店，想买当天限定、经常提前售罄的蛋糕。你到店时展示柜几乎空了，只在角落里还放着最后一块。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,2,你立即询问是否还能购买，店员确认库存并准备放上售罄牌。,这是今天最后一块，可以给您留，现在就帮您装起来。,愉悦型笑｜满足笑：利用获得确定性和愿望实现，诱发稳定的满足笑。,illustrations/scene_009_last_cake.png
幸运买到最后一块蛋糕：请想象下班后你特意绕路去一家常去的蛋糕店，想买当天限定、经常提前售罄的蛋糕。你到店时展示柜几乎空了，只在角落里还放着最后一块。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,3,你身后的顾客也朝展示柜看了一眼，但你已经先完成点单。对方礼貌地与你搭话。,原来最后一块已经被你买到了，我刚才还想问有没有剩呢。,社交型笑｜略带歉意的礼貌笑：利用竞争结果已定但仍顾及他人感受，诱发克制社交笑。,illustrations/scene_009_last_cake.png
幸运买到最后一块蛋糕：请想象下班后你特意绕路去一家常去的蛋糕店，想买当天限定、经常提前售罄的蛋糕。你到店时展示柜几乎空了，只在角落里还放着最后一块。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,4,同行的朋友知道这是你特意绕路来买的，却还是半开玩笑地看着你。,我也特别想吃，等会儿能不能分我一口？条件你来开。,狡黠型笑｜讨价还价的坏笑：利用掌握稀缺资源和熟人玩笑，诱发调皮、算计式笑。,illustrations/scene_009_last_cake.png
幸运买到最后一块蛋糕：请想象下班后你特意绕路去一家常去的蛋糕店，想买当天限定、经常提前售罄的蛋糕。你到店时展示柜几乎空了，只在角落里还放着最后一块。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,5,结账时，店员核对你的会员信息，发现积分正好可以使用。,您今天的积分刚好能抵掉一部分价格，比原价便宜不少。,愉悦型笑｜开心笑：利用意外的小额收益，诱发轻松、明亮的笑。,illustrations/scene_009_last_cake.png
